,stromal_score,immune_score,estimate_score,tumor_purity,true_purity
TCGA-LIHC-0167,-0.371446828213554,0.26891963474296143,-0.10252719347059258,0.8225179362012756,0.7721269170525672
TCGA-LIHC-0168,-0.04512232968062391,-0.20829838278071672,-0.2534207124613406,0.8225305332412705,0.7433045054569336
TCGA-LIHC-0169,-0.4652190091373359,-0.043848131028400794,-0.5090671401657367,0.8225518744448294,0.9096624816477648
TCGA-LIHC-0170,0.15493004056634688,-0.020135175905374673,0.1347948646609722,0.8224981230332281,0.6348294501753957
TCGA-LIHC-0171,0.6158346654061795,0.194012883302721,0.8098475487089005,0.8224417598466041,0.5219529749634771
TCGA-LIHC-0172,0.03004832056897589,-0.2505380137370616,-0.2204896931680857,0.8225277840962069,0.7311380535503712
TCGA-LIHC-0173,0.46074082165124597,0.3473870358114593,0.8081278574627053,0.8224419034416257,0.5007150722377898
TCGA-LIHC-0174,0.5049517467588623,0.4700159182128348,0.9749676649716972,0.82242797199575,0.5658309545410637
TCGA-LIHC-0175,-0.3472141658441545,-0.49282306477013715,-0.8400372306142916,0.8225795019000204,0.974346229949354
TCGA-LIHC-0176,-0.2965140762385466,-0.5384344105722677,-0.8349484868108143,0.8225790771360265,0.808971095578615
TCGA-LIHC-0177,0.32006047572883584,0.08702584327551692,0.40708631900435277,0.8224753891660277,0.5923734651459167
TCGA-LIHC-0178,-0.2548664471568081,-0.2682325421231847,-0.5230989892799929,0.8225530457812658,0.8842095518611868
TCGA-LIHC-0179,0.6562387970608066,0.12511950732583227,0.7813583043866388,0.822444138705042,0.5514755026439897
TCGA-LIHC-0180,-0.25138654290790846,-0.22393831641849177,-0.47532485932640023,0.8225490577267245,0.8413496045557047
TCGA-LIHC-0181,0.08450598142080255,-0.39939887642012467,-0.3148928949993221,0.8225356650063155,0.7166616634404209
TCGA-LIHC-0182,-0.2447202697833399,-0.4878656106031125,-0.7325858803864524,0.8225705327000654,0.8351543935946855
TCGA-LIHC-0183,-0.24780726796454672,-0.4422236458287136,-0.6900309137932603,0.8225669804870668,0.8499095260991166
TCGA-LIHC-0184,-0.007289050997340486,-0.08128499191799123,-0.08857404291533172,0.822516771330363,0.7958070678721217
TCGA-LIHC-0185,0.2602189806637661,-0.23512924334325616,0.025089737320509925,0.8225072820451748,0.6385190001566511
TCGA-LIHC-0186,0.5428826042240175,0.16484493775031242,0.7077275419743299,0.8224502868239745,0.5696225594634544
TCGA-LIHC-0187,-0.18044960730587614,0.05305767733690718,-0.12739192996896898,0.8225200120112397,0.7343153929292701
TCGA-LIHC-0188,0.580772052175651,0.23774681752050783,0.8185188696961588,0.8224410357864569,0.34842454507963816
TCGA-LIHC-0189,0.25918320997899436,-0.1753793988589029,0.08380381112009144,0.8225023801777234,0.7124405489868172
