logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
-2.11570257557538,1.13744690765006,-17.9922708093972,1.88931752872107e-06,2.99479868759957e-05,5.57047501250286,ANXA13,-2.11570257557538,1.88931752872107e-06,2.99479868759957e-05,-17.9922708093972
-1.09135114465355,4.79353656673776,-13.5191649992526,1.01271907410194e-05,9.28650647733e-05,3.66144810525343,ANXA3,-1.09135114465355,1.01271907410194e-05,9.28650647733e-05,-13.5191649992526
4.15666288945142,2.44178531510452,36.7101265667635,2.7120745529032e-08,2.18953695892148e-06,10.213422443203,ANXA6,4.15666288945142,2.7120745529032e-08,2.18953695892148e-06,36.7101265667635
-3.2307218020347,1.62957568015351,-38.7636717444562,1.95855780128737e-08,1.80836859605037e-06,10.549479698258,ANXA8L1,-3.2307218020347,1.95855780128737e-08,1.80836859605037e-06,-38.7636717444562
1.42556204268088,1.81405344522039,22.4216592365041,5.12884981563084e-07,1.25781879877565e-05,7.0341471882691,AOC2,1.42556204268088,5.12884981563084e-07,1.25781879877565e-05,22.4216592365041
1.08408598362706,0.923038049895662,8.39721880856285,0.0001550387310046,0.0006992343600273,0.534959305134718,AOC3,1.08408598362706,0.0001550387310046,0.0006992343600273,8.39721880856285
-1.69484814449978,2.51745437349958,-25.3517200101446,2.4705735275507e-07,7.85147058951198e-06,7.84300110667131,AP1G2,-1.69484814449978,2.4705735275507e-07,7.85147058951198e-06,-25.3517200101446
-1.63825752306598,2.55196999444138,-7.84561038938622,0.0002262461938896,0.0009492408096117,0.101753749490275,AP1S2,-1.63825752306598,0.0002262461938896,0.0009492408096117,-7.84561038938622
-1.38865929740754,2.39676140167426,-7.20408493002413,0.000361582290743,0.0013682231776064,-0.435141629698977,AP1S3,-1.38865929740754,0.000361582290743,0.0013682231776064,-7.20408493002413
-1.14879414075314,5.24234557372377,-18.6530865807294,1.52660986874977e-06,2.61779354538384e-05,5.81115992415481,AP2A1,-1.14879414075314,1.52660986874977e-06,2.61779354538384e-05,-18.6530865807294
-1.35943537489987,2.75200708529921,-9.59618451513616,7.30676041791119e-05,0.0003941638314744,1.39779038817739,AP4S1,-1.35943537489987,7.30676041791119e-05,0.0003941638314744,-9.59618451513616
1.63352191044578,2.13371712385892,19.3919989376354,1.21312752015848e-06,2.26555050388217e-05,6.07012749796428,APH1B,1.63352191044578,1.21312752015848e-06,2.26555050388217e-05,19.3919989376354
-1.3797491170313,2.26323904664987,-7.12384091500929,0.0003843464531962,0.0014363815982302,-0.50499973416252,APLP1,-1.3797491170313,0.0003843464531962,0.0014363815982302,-7.12384091500929
